iter	Passed	Remaining
0	188	187954
1	211	105667
2	223	74242
3	232	57949
4	240	47937
5	246	40814
6	251	35689
7	256	31769
8	260	28677
9	264	26183
10	268	24150
11	272	22449
12	276	21015
13	281	19792
14	285	18736
15	289	17806
16	293	16988
17	298	16260
18	302	15637
19	307	15047
20	311	14511
21	315	14024
22	319	13584
23	323	13169
24	327	12789
25	333	12492
26	339	12225
27	344	11975
28	351	11753
29	355	11496
30	360	11256
31	364	11018
32	368	10790
33	372	10572
34	376	10374
35	380	10180
36	384	10000
37	388	9824
38	392	9660
39	396	9517
40	400	9378
41	405	9240
42	409	9106
43	413	8978
44	417	8861
45	421	8735
46	424	8615
47	428	8504
48	432	8395
49	436	8289
50	439	8185
51	443	8084
52	447	7992
53	451	7905
54	455	7820
55	458	7734
56	462	7651
57	466	7572
58	470	7503
59	474	7431
60	478	7358
61	482	7293
62	485	7225
63	489	7163
64	493	7101
65	497	7043
66	501	6983
67	505	6925
68	509	6868
69	513	6816
70	516	6762
71	520	6711
72	524	6661
73	528	6616
74	532	6566
75	536	6519
76	539	6472
77	543	6428
78	547	6387
79	551	6343
80	555	6303
81	559	6261
82	563	6221
83	567	6186
84	571	6147
85	575	6112
86	579	6078
87	583	6047
88	587	6011
89	591	5979
90	595	5946
91	599	5914
92	602	5879
93	606	5849
94	610	5820
95	614	5790
96	618	5761
97	622	5730
98	626	5699
99	630	5671
100	634	5644
101	638	5617
102	642	5593
103	646	5571
104	650	5547
105	654	5523
106	659	5501
107	663	5478
108	667	5454
109	671	5435
110	676	5417
111	680	5396
112	684	5374
113	688	5350
114	692	5329
115	696	5306
116	700	5284
117	703	5260
118	707	5239
119	711	5220
120	715	5198
121	719	5176
122	723	5155
123	727	5137
124	731	5118
125	735	5098
126	739	5080
127	742	5060
128	746	5041
129	750	5020
130	754	5001
131	757	4984
132	761	4966
133	765	4945
134	768	4926
135	772	4910
136	776	4891
137	780	4874
138	784	4856
139	788	4843
140	792	4830
141	797	4815
142	800	4799
143	804	4785
144	808	4768
145	812	4753
146	816	4737
147	820	4723
148	824	4706
149	827	4691
150	831	4677
151	835	4663
152	839	4649
153	843	4634
154	847	4619
155	851	4607
156	855	4593
157	859	4578
158	862	4563
159	866	4549
160	870	4537
161	874	4523
162	878	4509
163	882	4497
164	886	4484
165	889	4470
166	893	4457
167	897	4444
168	901	4431
169	905	4418
170	909	4406
171	913	4395
172	916	4382
173	920	4369
174	924	4357
175	928	4345
176	931	4331
177	935	4320
178	939	4308
179	942	4295
180	946	4282
181	950	4271
182	953	4258
183	957	4247
184	962	4238
185	966	4228
186	970	4217
187	974	4207
188	978	4196
189	981	4185
190	985	4174
191	988	4161
192	992	4150
193	995	4137
194	999	4126
195	1003	4115
196	1007	4104
197	1010	4093
198	1014	4082
199	1018	4073
200	1022	4064
201	1026	4054
202	1030	4044
203	1034	4035
204	1038	4025
205	1041	4015
206	1045	4005
207	1049	3995
208	1053	3986
209	1056	3975
210	1060	3965
211	1064	3956
212	1067	3945
213	1071	3935
214	1075	3926
215	1079	3916
216	1082	3907
217	1086	3896
218	1090	3887
219	1093	3878
220	1097	3870
221	1102	3861
222	1105	3852
223	1109	3843
224	1113	3834
225	1117	3825
226	1121	3817
227	1125	3809
228	1128	3800
229	1132	3792
230	1136	3784
231	1140	3775
232	1144	3767
233	1148	3760
234	1151	3749
235	1156	3742
236	1159	3734
237	1164	3728
238	1168	3719
239	1172	3712
240	1176	3703
241	1180	3696
242	1184	3689
243	1188	3681
244	1192	3674
245	1196	3668
246	1200	3660
247	1204	3651
248	1207	3643
249	1211	3635
250	1215	3627
251	1219	3618
252	1223	3611
253	1226	3602
254	1230	3595
255	1234	3588
256	1238	3580
257	1242	3573
258	1246	3565
259	1250	3557
260	1253	3549
261	1257	3542
262	1261	3534
263	1265	3528
264	1269	3520
265	1273	3514
266	1278	3509
267	1282	3502
268	1286	3495
269	1290	3488
270	1294	3481
271	1298	3474
272	1301	3466
273	1305	3460
274	1309	3453
275	1314	3447
276	1317	3439
277	1321	3432
278	1326	3427
279	1330	3422
280	1335	3417
281	1339	3411
282	1343	3404
283	1348	3399
284	1352	3393
285	1356	3386
286	1360	3380
287	1364	3374
288	1368	3367
289	1372	3360
290	1376	3353
291	1380	3346
292	1383	3338
293	1387	3331
294	1391	3325
295	1395	3318
296	1399	3312
297	1403	3305
298	1406	3298
299	1410	3292
300	1414	3285
301	1418	3278
302	1422	3272
303	1426	3265
304	1429	3258
305	1433	3251
306	1437	3245
307	1441	3238
308	1445	3232
309	1449	3225
310	1452	3218
311	1456	3211
312	1460	3205
313	1464	3198
314	1468	3192
315	1472	3186
316	1476	3180
317	1479	3173
318	1483	3167
319	1487	3161
320	1491	3155
321	1495	3148
322	1498	3141
323	1502	3134
324	1506	3128
325	1510	3122
326	1514	3116
327	1518	3110
328	1521	3103
329	1525	3098
330	1530	3092
331	1533	3086
332	1537	3079
333	1540	3071
334	1544	3066
335	1548	3060
336	1552	3054
337	1556	3048
338	1560	3043
339	1564	3037
340	1569	3032
341	1573	3027
342	1577	3021
343	1581	3015
344	1585	3009
345	1589	3003
346	1593	2999
347	1597	2992
348	1600	2985
349	1604	2979
350	1608	2973
351	1612	2967
352	1615	2961
353	1619	2955
354	1623	2949
355	1627	2943
356	1631	2938
357	1635	2932
358	1638	2926
359	1642	2920
360	1646	2913
361	1650	2908
362	1654	2902
363	1658	2897
364	1662	2891
365	1665	2885
366	1669	2879
367	1673	2874
368	1677	2869
369	1681	2863
